iter,funcval,gradnorm,x
10,24876.85770597442,12081807786.369347,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
11,24876.85770597442,7074450484.671597,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
12,24876.85770597442,6713645741.677377,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
13,24876.85770597442,9382946602.19658,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
14,24876.85770597442,5650325408.416551,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
15,24876.85770597442,5297460166.926914,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
16,24876.85770597442,5436149522.949646,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
17,24876.85770597442,5198486682.767827,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
18,24876.85770597442,4968420469.149191,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
19,24876.85770597442,5087994097.478438,"[  -1.19999807    0.99999864   -1.19999928    1.00000076   -1.20000065
    0.99999933   -1.20000026    1.00000071   -1.19999862    0.999999
   -1.200003      1.00000087   -1.19999882    0.99999945   -1.19999807
    1.0000018    -1.20000066    0.9999989    -1.20000091    1.00000005
   -1.19999825    0.99999978   -1.19999973    1.00000145   -1.1999992
    1.00000165   -1.1999995     1.00000105   -1.19999882    1.00000138
   -1.2000002     1.00000017   -1.2000001     0.99999955   -1.20000159
    0.99999911   -1.19999937    0.99999985   -1.2000002     1.00000181
   -1.19999809    1.00000036   -1.20000016    0.99999947   -1.19999948
    1.00000032   -1.20000029    0.99999824   -1.19999923    1.0000016
   -1.19999918    0.999999     -1.19999918    1.00000091   -1.19999912
    1.0000013    -1.20000026    0.99999776   -1.19999813    1.00000021
   -1.19999984    0.99999768   -1.19999933    0.99999986   -1.20000028
    0.99999822   -1.20000047    1.00000045   -1.20000093    0.99999964
   -1.20000001    1.00000103   -1.19999899    1.00000061   -1.20000113
    0.99999962   -1.19999958    0.99999909   -1.20000021    1.00000026
   -1.19999988    1.00000055   -1.19999892    1.00000028   -1.20000229
    1.0000004    -1.20000074    1.00000079   -1.20000014    1.00000015
   -1.20000025    0.99999895   -1.19999964    0.99999962   -1.20000047
    0.99999905   -1.19999922    0.99999862   -1.19999886 -360.99568973]"
